,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
3836,2020,2020,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,27.6,27.6,,,15.5,44.4,73.0,,,,,,Non-Hispanic Black,"(34.52088095200048, -106.24058098499967)",OWS,OWS1,Q037,VALUE,35,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
3837,2013,2013,NY,New York,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,19.4,19.4,,,16.2,23.2,875.0,,,,,"$35,000 - $49,999",,"(42.827001032, -75.543970427)",PA,PA1,Q044,VALUE,36,Income,"$35,000 - $49,999",INC,INC3550
3838,2021,2021,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.4,32.4,,,29.4,35.5,1520.0,,,Some college or technical school,,,,"(40.13057004800049, -74.27369128799967)",OWS,OWS1,Q036,VALUE,34,Education,Some college or technical school,EDU,EDUCOTEC
3839,2022,2022,ID,Idaho,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,19.7,19.7,,,17.1,22.6,1043.0,,45 - 54,,,,,"(43.682630005000476, -114.3637300419997)",PA,PA1,Q047,VALUE,16,Age (years),45 - 54,AGEYR,AGEYR4554
3840,2011,2011,WY,Wyoming,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,22.4,22.4,,,18.9,26.3,710.0,,25 - 34,,,,,"(43.235541343, -108.109830353)",PA,PA1,Q047,VALUE,56,Age (years),25 - 34,AGEYR,AGEYR2534
3841,2014,2014,UT,Utah,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,29.0,29.0,,,26.1,32.2,1153.0,,,,,,Hispanic,"(39.360700171, -111.587130635)",PA,PA1,Q047,VALUE,49,Race/Ethnicity,Hispanic,RACE,RACEHIS
3842,2019,2019,MI,Michigan,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,20.9,20.9,,,18.0,24.1,1423.0,,,,,Data not reported,,"(44.6613195430005, -84.71439026999968)",PA,PA1,Q044,VALUE,26,Income,Data not reported,INC,INCNR
3843,2012,2012,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,25.6,25.6,,,23.7,27.7,3348.0,,,,Female,,,"(41.708280193, -71.522470314)",PA,PA1,Q047,VALUE,44,Gender,Female,GEN,FEMALE
3844,2013,2013,IA,Iowa,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.9,36.9,,,34.5,39.3,2673.0,,,High school graduate,,,,"(42.469400913, -93.816490556)",OWS,OWS1,Q037,VALUE,19,Education,High school graduate,EDU,EDUHSGRAD
3845,2012,2012,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,34.6,34.6,,,31.4,37.9,1699.0,,,,,"$15,000 - $24,999",,"(37.638640123, -120.999999538)",OWS,OWS1,Q037,VALUE,6,Income,"$15,000 - $24,999",INC,INC1525
3846,2013,2013,SD,South Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.9,29.9,,,27.9,31.9,5596.0,,,,,,Non-Hispanic White,"(44.353130053, -100.373530637)",OWS,OWS1,Q036,VALUE,46,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
3847,2022,2022,NJ,New Jersey,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38.8,38.8,,,32.3,45.7,452.0,,,,,"$25,000 - $34,999",,"(40.13057004800049, -74.27369128799967)",OWS,OWS1,Q037,VALUE,34,Income,"$25,000 - $34,999",INC,INC2535
3848,2011,2011,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.0,30.0,,,27.2,33.0,1413.0,,55 - 64,,,,,"(41.708280193, -71.522470314)",OWS,OWS1,Q036,VALUE,44,Age (years),55 - 64,AGEYR,AGEYR5564
3849,2013,2013,ME,Maine,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,35.6,35.6,,,30.8,40.6,547.0,,25 - 34,,,,,"(45.254228894001, -68.985031336)",PA,PA1,Q045,VALUE,23,Age (years),25 - 34,AGEYR,AGEYR2534
3850,2019,2019,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,30.5,30.5,,,27.5,33.6,1331.0,,,High school graduate,,,,"(42.27687047000046, -72.08269067499964)",PA,PA1,Q045,VALUE,25,Education,High school graduate,EDU,EDUHSGRAD
3851,2015,2015,DE,Delaware,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.6,29.6,,,23.6,36.4,348.0,,25 - 34,,,,,"(39.008830667, -75.577741168)",OWS,OWS1,Q036,VALUE,10,Age (years),25 - 34,AGEYR,AGEYR2534
3852,2013,2013,VT,Vermont,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,48.1,48.1,,,43.6,52.6,846.0,,,,,"$15,000 - $24,999",,"(43.625381239, -72.517640791)",PA,PA1,Q043,VALUE,50,Income,"$15,000 - $24,999",INC,INC1525
3853,2019,2019,NC,North Carolina,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,52.9,52.9,,,50.5,55.2,2442.0,,,,,,Non-Hispanic White,"(35.466220975000454, -79.15925046299964)",PA,PA1,Q043,VALUE,37,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
3854,2011,2011,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,40.9,40.9,,,38.8,43.0,4690.0,,65 or older,,,,,"(28.932040377, -81.928960539)",OWS,OWS1,Q037,VALUE,12,Age (years),65 or older,AGEYR,AGEYR65PLUS
3855,2019,2019,MI,Michigan,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,32.6,32.6,,,29.2,36.3,1006.0,,25 - 34,,,,,"(44.6613195430005, -84.71439026999968)",OWS,OWS1,Q037,VALUE,26,Age (years),25 - 34,AGEYR,AGEYR2534
3856,2015,2015,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,27.9,27.9,,,25.2,30.9,1422.0,,55 - 64,,,,,"(35.472031356, -97.521070214)",PA,PA1,Q045,VALUE,40,Age (years),55 - 64,AGEYR,AGEYR5564
3857,2011,2011,MO,Missouri,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,26.7,26.7,,,22.0,32.0,657.0,,,,,"Less than $15,000",,"(38.635790776, -92.566300053)",PA,PA1,Q045,VALUE,29,Income,"Less than $15,000",INC,INCLESS15
